COHERENCE PROTOCOL: MSI
3, 113428, 4640, 12108, 0, 3.70, 196, 0, 4836, 1176, 0, 9, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 5595, 11942, 3, 4.49, 107, 0, 5705, 1398, 0, 3, 0
1, 110830, 5604, 11710, 2, 4.57, 110, 0, 5716, 1387, 0, 9, 0
2, 114938, 5604, 12383, 2, 4.40, 105, 0, 5711, 1387, 0, 6, 0
3, 113428, 5611, 12108, 0, 4.47, 123, 0, 5734, 1417, 0, 6, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 5069, 11942, 3, 4.07, 145, 0, 5217, 1256, 0, 3, 0
1, 110830, 5080, 11710, 1, 4.15, 149, 0, 5230, 1266, 0, 9, 0
2, 114938, 5080, 12383, 2, 3.99, 145, 0, 5227, 1257, 0, 6, 0
3, 113428, 5086, 12108, 0, 4.05, 160, 0, 5246, 1287, 0, 9, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 4628, 11942, 3, 3.72, 198, 0, 4829, 1125, 0, 3, 0
1, 110830, 4633, 11710, 1, 3.78, 200, 0, 4834, 1175, 0, 11, 0
2, 114938, 4630, 12383, 2, 3.64, 185, 0, 4817, 1143, 0, 9, 0
3, 113428, 4640, 12108, 0, 3.70, 196, 0, 4836, 1176, 0, 9, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 5595, 11942, 3, 4.49, 107, 0, 5705, 1398, 0, 3, 0
1, 110830, 5604, 11710, 2, 4.57, 110, 0, 5716, 1387, 0, 9, 0
2, 114938, 5604, 12383, 2, 4.40, 105, 0, 5711, 1387, 0, 6, 0
3, 113428, 5611, 12108, 0, 4.47, 123, 0, 5734, 1417, 0, 6, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 5069, 11942, 3, 4.07, 145, 0, 5217, 1256, 0, 3, 0
1, 110830, 5080, 11710, 1, 4.15, 149, 0, 5230, 1266, 0, 9, 0
2, 114938, 5080, 12383, 2, 3.99, 145, 0, 5227, 1257, 0, 6, 0
3, 113428, 5086, 12108, 0, 4.05, 160, 0, 5246, 1287, 0, 9, 0
COHERENCE PROTOCOL: Dragon
0, 112661, 4628, 11942, 3, 3.72, 198, 0, 4829, 1125, 0, 3, 0
1, 110830, 4633, 11710, 1, 3.78, 200, 0, 4834, 1175, 0, 11, 0
2, 114938, 4630, 12383, 2, 3.64, 185, 0, 4817, 1143, 0, 9, 0
3, 113428, 4640, 12108, 0, 3.70, 196, 0, 4836, 1176, 0, 9, 0
